areaCode,areaName,areaType,date,hospitalCases,newAdmissions
E40000003,London,nhsRegion,2021-06-23,280,
E40000003,London,nhsRegion,2021-06-22,300,
E40000003,London,nhsRegion,2021-06-21,303,19
E40000003,London,nhsRegion,2021-06-20,272,32
E40000003,London,nhsRegion,2021-06-19,286,31
E40000003,London,nhsRegion,2021-06-18,289,26
E40000003,London,nhsRegion,2021-06-17,300,31
E40000003,London,nhsRegion,2021-06-16,277,25
E40000003,London,nhsRegion,2021-06-15,289,37
E40000003,London,nhsRegion,2021-06-14,285,33
E40000003,London,nhsRegion,2021-06-13,261,34
E40000003,London,nhsRegion,2021-06-12,250,27
E40000003,London,nhsRegion,2021-06-11,262,28
E40000003,London,nhsRegion,2021-06-10,266,29
E40000003,London,nhsRegion,2021-06-09,270,33
E40000003,London,nhsRegion,2021-06-08,249,20
E40000003,London,nhsRegion,2021-06-07,252,17
E40000003,London,nhsRegion,2021-06-06,237,27
E40000003,London,nhsRegion,2021-06-05,234,16
E40000003,London,nhsRegion,2021-06-04,247,16
E40000003,London,nhsRegion,2021-06-03,238,20
E40000003,London,nhsRegion,2021-06-02,241,19
E40000003,London,nhsRegion,2021-06-01,236,29
E40000003,London,nhsRegion,2021-05-31,234,20
E40000003,London,nhsRegion,2021-05-30,233,18
E40000003,London,nhsRegion,2021-05-29,235,17
E40000003,London,nhsRegion,2021-05-28,234,19
E40000003,London,nhsRegion,2021-05-27,234,17
E40000003,London,nhsRegion,2021-05-26,238,19
E40000003,London,nhsRegion,2021-05-25,242,16
E40000003,London,nhsRegion,2021-05-24,244,17
E40000003,London,nhsRegion,2021-05-23,236,13
E40000003,London,nhsRegion,2021-05-22,233,14
E40000003,London,nhsRegion,2021-05-21,254,13
E40000003,London,nhsRegion,2021-05-20,248,24
E40000003,London,nhsRegion,2021-05-19,241,14
E40000003,London,nhsRegion,2021-05-18,245,19
E40000003,London,nhsRegion,2021-05-17,259,19
E40000003,London,nhsRegion,2021-05-16,261,11
E40000003,London,nhsRegion,2021-05-15,258,11
E40000003,London,nhsRegion,2021-05-14,251,12
E40000003,London,nhsRegion,2021-05-13,266,15
E40000003,London,nhsRegion,2021-05-12,275,12
E40000003,London,nhsRegion,2021-05-11,281,17
E40000003,London,nhsRegion,2021-05-10,281,17
E40000003,London,nhsRegion,2021-05-09,274,16
E40000003,London,nhsRegion,2021-05-08,275,10
E40000003,London,nhsRegion,2021-05-07,272,15
E40000003,London,nhsRegion,2021-05-06,283,13
E40000003,London,nhsRegion,2021-05-05,284,17
E40000003,London,nhsRegion,2021-05-04,292,6
E40000003,London,nhsRegion,2021-05-03,316,11
E40000003,London,nhsRegion,2021-05-02,308,11
E40000003,London,nhsRegion,2021-05-01,299,12
E40000003,London,nhsRegion,2021-04-30,315,11
E40000003,London,nhsRegion,2021-04-29,339,15
E40000003,London,nhsRegion,2021-04-28,353,14
E40000003,London,nhsRegion,2021-04-27,368,21
E40000003,London,nhsRegion,2021-04-26,376,13
E40000003,London,nhsRegion,2021-04-25,375,17
E40000003,London,nhsRegion,2021-04-24,403,15
E40000003,London,nhsRegion,2021-04-23,418,22
E40000003,London,nhsRegion,2021-04-22,423,14
E40000003,London,nhsRegion,2021-04-21,453,18
E40000003,London,nhsRegion,2021-04-20,439,15
