areaCode,areaName,areaType,date,newCasesByPublishDate,newDeathsByDeathDate,newVirusTests
E12000001,North East,region,2021-06-23,1095,,
E12000001,North East,region,2021-06-22,714,0,
E12000001,North East,region,2021-06-21,848,1,
E12000001,North East,region,2021-06-20,641,0,
E12000001,North East,region,2021-06-19,742,0,
E12000001,North East,region,2021-06-18,633,0,
E12000001,North East,region,2021-06-17,647,0,
E12000001,North East,region,2021-06-16,567,0,
E12000001,North East,region,2021-06-15,518,0,
E12000001,North East,region,2021-06-14,413,0,
E12000001,North East,region,2021-06-13,301,1,
E12000001,North East,region,2021-06-12,448,0,
E12000001,North East,region,2021-06-11,315,0,
E12000001,North East,region,2021-06-10,320,1,
E12000001,North East,region,2021-06-09,302,0,
E12000001,North East,region,2021-06-08,242,0,
E12000001,North East,region,2021-06-07,210,0,
E12000001,North East,region,2021-06-06,166,0,
E12000001,North East,region,2021-06-05,239,1,
E12000001,North East,region,2021-06-04,154,0,
E12000001,North East,region,2021-06-03,113,0,
E12000001,North East,region,2021-06-02,122,1,
E12000001,North East,region,2021-06-01,78,1,
E12000001,North East,region,2021-05-31,83,1,
E12000001,North East,region,2021-05-30,120,0,
E12000001,North East,region,2021-05-29,94,0,
E12000001,North East,region,2021-05-28,97,0,
E12000001,North East,region,2021-05-27,73,0,
E12000001,North East,region,2021-05-26,92,0,
E12000001,North East,region,2021-05-25,66,0,
E12000001,North East,region,2021-05-24,70,0,
E12000001,North East,region,2021-05-23,56,0,
E12000001,North East,region,2021-05-22,70,0,
E12000001,North East,region,2021-05-21,61,0,
E12000001,North East,region,2021-05-20,77,0,
E12000001,North East,region,2021-05-19,74,0,
E12000001,North East,region,2021-05-18,0,1,
E12000001,North East,region,2021-05-17,72,2,
E12000001,North East,region,2021-05-16,54,0,
E12000001,North East,region,2021-05-15,83,1,
E12000001,North East,region,2021-05-14,74,0,
E12000001,North East,region,2021-05-13,108,2,
E12000001,North East,region,2021-05-12,76,4,
E12000001,North East,region,2021-05-11,101,1,
E12000001,North East,region,2021-05-10,77,1,
E12000001,North East,region,2021-05-09,83,2,
E12000001,North East,region,2021-05-08,97,0,
E12000001,North East,region,2021-05-07,55,1,
E12000001,North East,region,2021-05-06,97,0,
E12000001,North East,region,2021-05-05,105,1,
E12000001,North East,region,2021-05-04,84,1,
E12000001,North East,region,2021-05-03,63,1,
E12000001,North East,region,2021-05-02,54,1,
E12000001,North East,region,2021-05-01,80,1,
E12000001,North East,region,2021-04-30,92,1,
E12000001,North East,region,2021-04-29,94,0,
E12000001,North East,region,2021-04-28,89,1,
E12000001,North East,region,2021-04-27,129,2,
E12000001,North East,region,2021-04-26,88,1,
E12000001,North East,region,2021-04-25,69,1,
E12000001,North East,region,2021-04-24,57,2,
E12000001,North East,region,2021-04-23,95,1,
E12000001,North East,region,2021-04-22,99,3,
E12000001,North East,region,2021-04-21,118,1,
E12000001,North East,region,2021-04-20,83,0,
E12000001,North East,region,2021-04-19,109,0,
E12000001,North East,region,2021-04-18,63,1,
E12000001,North East,region,2021-04-17,81,1,
E12000001,North East,region,2021-04-16,90,2,
E12000001,North East,region,2021-04-15,94,2,
E12000001,North East,region,2021-04-14,59,2,
E12000001,North East,region,2021-04-13,117,3,
E12000001,North East,region,2021-04-12,184,2,
E12000001,North East,region,2021-04-11,63,0,
E12000001,North East,region,2021-04-10,68,1,
E12000001,North East,region,2021-04-09,0,2,
E12000001,North East,region,2021-04-08,123,2,
E12000001,North East,region,2021-04-07,139,2,
E12000001,North East,region,2021-04-06,74,4,
E12000001,North East,region,2021-04-05,118,2,
E12000001,North East,region,2021-04-04,94,3,
E12000001,North East,region,2021-04-03,166,3,
E12000001,North East,region,2021-04-02,134,1,
E12000001,North East,region,2021-04-01,242,2,
E12000001,North East,region,2021-03-31,275,6,
E12000001,North East,region,2021-03-30,152,3,
E12000001,North East,region,2021-03-29,414,4,
E12000001,North East,region,2021-03-28,38,1,
E12000001,North East,region,2021-03-27,0,5,
E12000001,North East,region,2021-03-26,428,3,
E12000001,North East,region,2021-03-25,440,6,
E12000001,North East,region,2021-03-24,367,5,
E12000001,North East,region,2021-03-23,323,9,
E12000001,North East,region,2021-03-22,214,5,
E12000001,North East,region,2021-03-21,232,2,
E12000001,North East,region,2021-03-20,271,8,
