v4_0,calendar-years,Time,administrative-geography,Geography,sex,Sex,single-year-of-age,Age
2540090,2001,2001,E12000001,North East,all,All,total,Total
2540461,2003,2003,E12000001,North East,all,All,total,Total
2540600,2002,2002,E12000001,North East,all,All,total,Total
2540502,2004,2004,E12000001,North East,all,All,total,Total
2547127,2005,2005,E12000001,North East,all,All,total,Total
2552568,2006,2006,E12000001,North East,all,All,total,Total
2562045,2007,2007,E12000001,North East,all,All,total,Total
2586868,2010,2010,E12000001,North East,all,All,total,Total
2569312,2008,2008,E12000001,North East,all,All,total,Total
2575441,2009,2009,E12000001,North East,all,All,total,Total
2596441,2011,2011,E12000001,North East,all,All,total,Total
2602387,2012,2012,E12000001,North East,all,All,total,Total
2618736,2014,2014,E12000001,North East,all,All,total,Total
2610563,2013,2013,E12000001,North East,all,All,total,Total
2624579,2015,2015,E12000001,North East,all,All,total,Total
2636589,2016,2016,E12000001,North East,all,All,total,Total
2644727,2017,2017,E12000001,North East,all,All,total,Total
2657909,2018,2018,E12000001,North East,all,All,total,Total
2669941,2019,2019,E12000001,North East,all,All,total,Total
4976643,2001,2001,E12000003,Yorkshire and The Humber,all,All,total,Total
5000111,2002,2002,E12000003,Yorkshire and The Humber,all,All,total,Total
5026314,2003,2003,E12000003,Yorkshire and The Humber,all,All,total,Total
5063199,2004,2004,E12000003,Yorkshire and The Humber,all,All,total,Total
5108408,2005,2005,E12000003,Yorkshire and The Humber,all,All,total,Total
5134016,2006,2006,E12000003,Yorkshire and The Humber,all,All,total,Total
5164138,2007,2007,E12000003,Yorkshire and The Humber,all,All,total,Total
5198675,2008,2008,E12000003,Yorkshire and The Humber,all,All,total,Total
5223344,2009,2009,E12000003,Yorkshire and The Humber,all,All,total,Total
5254788,2010,2010,E12000003,Yorkshire and The Humber,all,All,total,Total
5288212,2011,2011,E12000003,Yorkshire and The Humber,all,All,total,Total
5316897,2012,2012,E12000003,Yorkshire and The Humber,all,All,total,Total
5360117,2014,2014,E12000003,Yorkshire and The Humber,all,All,total,Total
5337940,2013,2013,E12000003,Yorkshire and The Humber,all,All,total,Total
5390211,2015,2015,E12000003,Yorkshire and The Humber,all,All,total,Total
5479615,2018,2018,E12000003,Yorkshire and The Humber,all,All,total,Total
5425370,2016,2016,E12000003,Yorkshire and The Humber,all,All,total,Total
5450130,2017,2017,E12000003,Yorkshire and The Humber,all,All,total,Total
5502967,2019,2019,E12000003,Yorkshire and The Humber,all,All,total,Total
8023449,2001,2001,E12000008,South East,all,All,total,Total
8087924,2003,2003,E12000008,South East,all,All,total,Total
8045192,2002,2002,E12000008,South East,all,All,total,Total
8133100,2004,2004,E12000008,South East,all,All,total,Total
8202896,2005,2005,E12000008,South East,all,All,total,Total
8270861,2006,2006,E12000008,South East,all,All,total,Total
8426399,2008,2008,E12000008,South East,all,All,total,Total
8351391,2007,2007,E12000008,South East,all,All,total,Total
8490922,2009,2009,E12000008,South East,all,All,total,Total
